Jitter (local),"Jitter (local, absolute)",Jitter (rap),Jitter (ppq5),Jitter (ddp),Shimmer (local),"Shimmer (local, dB)",Shimmer (apq3),Shimmer (apq5),Shimmer (apq11),Shimmer (dda),Median Pitch,Mean Pitch ,Standard deviation,Number of pulses,Number of periods,Class information
1.488,0.000090213,0.9,0.794,2.699,8.334,0.779,4.517,4.609,6.802,13.551,166.533,164.781,10.421,160,159,1
0.728,0.000037698,0.353,0.376,1.059,5.864,0.642,2.058,3.18,7.194,6.175,195.252,193.289,14.773,170,169,1
1.22,0.000074041,0.732,0.67,2.196,8.719,0.875,4.347,5.166,7.548,13.04,158.689,164.768,12.981,1431,1427,1
2.502,0.000122824,1.156,1.634,3.469,13.513,1.273,5.263,8.771,16.779,15.789,201.997,203.471,10.853,94,92,1
3.509,0.000166927,1.715,1.539,5.145,9.112,1.04,3.102,4.927,12.823,9.307,211.887,208.44,11.499,117,114,1
2.47,0.000126412,1.358,1.341,4.075,10.696,1.256,5.262,7.076,9.199,15.787,195.952,195.222,4.692,74,73,1
1.583,0.000082305,0.768,0.864,2.303,9.057,1.07,3.794,5.158,7.67,11.381,195.535,192.316,7.512,85,84,1
1.92,0.000098625,0.926,1.031,2.777,10.184,1.108,3.65,4.611,7.127,10.951,196.745,194.284,5.979,71,70,1
2.257,0.000119196,1.239,1.53,3.716,8.044,0.877,3.449,4.239,7.654,10.346,191.345,185.423,21.878,107,104,1
1.594,0.00008504,0.85,0.951,2.55,7.2,0.823,2.48,3.826,9.228,7.44,190.838,187.775,10.087,113,112,1
2.286,0.000122261,1.081,1.257,3.243,8.994,0.938,3.386,5.646,11.253,10.157,192.349,188.506,10.386,95,93,1
1.728,0.000092615,0.807,1.056,2.422,9.779,0.984,4.1,6.374,9.107,12.299,189.213,186.832,11.257,97,95,1
2.105,0.000109648,0.902,1.076,2.707,6.163,0.718,2.403,3.163,5.009,7.208,193.824,192.37,7.748,107,104,1
3.343,0.000164283,1.349,1.826,4.047,12.619,1.316,5.287,7.67,15.858,15.862,208.781,204.866,21.351,205,200,1
2.025,0.000099298,1.028,1.251,3.084,11.047,1.244,4.223,5.973,12.467,12.67,204,204.431,17.543,249,247,1
2.517,0.000118023,1.16,1.35,3.479,14.327,1.359,5.82,9.451,18.515,17.461,218.121,213.528,17.347,205,203,1
3.29,0.000149035,1.567,1.822,4.702,12.714,1.363,4.259,6.697,15.432,12.778,218.273,220.118,31.456,265,260,1
5.534,0.000258089,2.38,3.171,7.14,13.54,1.512,6.187,10.903,16.528,18.56,206.243,215.207,17.874,55,52,1
1.137,0.000053524,0.473,0.608,1.418,8.963,0.936,2.998,5.017,11.826,8.995,216.478,212.661,16.789,96,95,1
2.162,0.000099442,1.217,1.059,3.651,11.294,1.019,4.621,5.878,11.646,13.864,218.247,216.358,10.329,88,87,1
